name,date,CUR_MKT_CAP
MNG LN Equity,2019-10-21,6594.8111
MNG LN Equity,2019-10-22,6124.2089
MNG LN Equity,2019-10-23,6441.3213
MNG LN Equity,2019-10-24,6828.4762
MNG LN Equity,2019-10-25,6777.0693
MNG LN Equity,2019-10-28,6627.5846
MNG LN Equity,2019-10-29,6500.0293
MNG LN Equity,2019-10-30,6409.5434
MNG LN Equity,2019-10-31,6451.7872
MNG LN Equity,2019-11-01,6538.9661
MNG LN Equity,2019-11-04,6616.8458
MNG LN Equity,2019-11-05,6476.2022
MNG LN Equity,2019-11-06,6513.1233
MNG LN Equity,2019-11-07,6578.4637
MNG LN Equity,2019-11-08,6568.8841
MNG LN Equity,2019-11-11,6680.4695
MNG LN Equity,2019-11-12,6946.4109
MNG LN Equity,2019-11-13,6883.553
MNG LN Equity,2019-11-14,6929.0232
MNG LN Equity,2019-11-15,6861.8208
MNG LN Equity,2019-11-18,7100.3541
MNG LN Equity,2019-11-19,7079.09
MNG LN Equity,2019-11-20,7067.0895
MNG LN Equity,2019-11-21,6999.1458
MNG LN Equity,2019-11-22,6988.5893
MNG LN Equity,2019-11-25,7240.3466
MNG LN Equity,2019-11-26,7228.1384
MNG LN Equity,2019-11-27,7253.6664
MNG LN Equity,2019-11-28,7271.8375
MNG LN Equity,2019-11-29,7202.9693
MNG LN Equity,2019-12-02,7129.2691
MNG LN Equity,2019-12-03,7045.7476
MNG LN Equity,2019-12-04,6906.62
MNG LN Equity,2019-12-05,6826.5121
MNG LN Equity,2019-12-06,6875.2445
MNG LN Equity,2019-12-09,6844.7532
MNG LN Equity,2019-12-10,6801.1237
MNG LN Equity,2019-12-11,6761.5111
MNG LN Equity,2019-12-12,7049.5812
MNG LN Equity,2019-12-13,7602.7115
MNG LN Equity,2019-12-16,7567.9115
MNG LN Equity,2019-12-17,7200.1269
MNG LN Equity,2019-12-18,7159.0323
MNG LN Equity,2019-12-19,7215.7878
MNG LN Equity,2019-12-20,7266.7493
MNG LN Equity,2019-12-23,7203.8785
MNG LN Equity,2019-12-24,7236.3746
MNG LN Equity,2019-12-27,7243.9719
MNG LN Equity,2019-12-30,7253.0458
MNG LN Equity,2019-12-31,7284.0541
MNG LN Equity,2020-01-02,7453.6397
MNG LN Equity,2020-01-03,7553.5626
MNG LN Equity,2020-01-06,7536.7247
MNG LN Equity,2020-01-07,7498.3489
MNG LN Equity,2020-01-08,7526.5597
MNG LN Equity,2020-01-09,7436.6823
MNG LN Equity,2020-01-10,7425.8838
MNG LN Equity,2020-01-13,7357.6594
MNG LN Equity,2020-01-14,7318.0761
MNG LN Equity,2020-01-15,7306.5347
MNG LN Equity,2020-01-16,7387.3966
MNG LN Equity,2020-01-17,7516.5668
MNG LN Equity,2020-01-20,7592.8352
MNG LN Equity,2020-01-21,7632.554
MNG LN Equity,2020-01-22,7568.267
MNG LN Equity,2020-01-23,7525.7317
MNG LN Equity,2020-01-24,7567.4492
MNG LN Equity,2020-01-27,7458.7374
MNG LN Equity,2020-01-28,7508.8999
MNG LN Equity,2020-01-29,7531.4376
MNG LN Equity,2020-01-30,7476.6236
MNG LN Equity,2020-01-31,7435.5957
MNG LN Equity,2020-02-03,7441.7121
MNG LN Equity,2020-02-04,7459.7469
MNG LN Equity,2020-02-05,7437.3454
MNG LN Equity,2020-02-06,7322.9154
MNG LN Equity,2020-02-07,7331.7212
MNG LN Equity,2020-02-10,7389.7932
MNG LN Equity,2020-02-11,7528.4329
MNG LN Equity,2020-02-12,7622.7195
MNG LN Equity,2020-02-13,7739.3947
MNG LN Equity,2020-02-14,7785.4778
MNG LN Equity,2020-02-17,7701.6941
MNG LN Equity,2020-02-18,7792.0104
MNG LN Equity,2020-02-19,7823.776
MNG LN Equity,2020-02-20,7749.1928
MNG LN Equity,2020-02-21,7598.6825
MNG LN Equity,2020-02-24,7159.5418
MNG LN Equity,2020-02-25,7081.2012
MNG LN Equity,2020-02-26,6897.6248
MNG LN Equity,2020-02-27,6430.9743
MNG LN Equity,2020-02-28,5995.5181
MNG LN Equity,2020-03-02,5766.8223
MNG LN Equity,2020-03-03,6047.2091
MNG LN Equity,2020-03-04,6080.9148
MNG LN Equity,2020-03-05,5936.6815
MNG LN Equity,2020-03-06,5666.8276
MNG LN Equity,2020-03-09,5130.5473
MNG LN Equity,2020-03-10,5054.6206
MNG LN Equity,2020-03-11,4973.5746
MNG LN Equity,2020-03-12,4359.0872
MNG LN Equity,2020-03-13,4235.6769
MNG LN Equity,2020-03-16,3118.5579
MNG LN Equity,2020-03-17,2897.6035
MNG LN Equity,2020-03-18,2612.3512
MNG LN Equity,2020-03-19,3540.1331
MNG LN Equity,2020-03-20,3134.2836
MNG LN Equity,2020-03-23,3264.3513
MNG LN Equity,2020-03-24,3938.4033
MNG LN Equity,2020-03-25,4254.0327
MNG LN Equity,2020-03-26,4027.5152
MNG LN Equity,2020-03-27,3914.1268
MNG LN Equity,2020-03-30,3433.8411
MNG LN Equity,2020-03-31,3308.275
MNG LN Equity,2020-04-01,3215.2102
MNG LN Equity,2020-04-02,3522.8493
MNG LN Equity,2020-04-03,3223.9949
MNG LN Equity,2020-04-06,3489.1193
MNG LN Equity,2020-04-07,3828.6513
MNG LN Equity,2020-04-08,3978.3649
MNG LN Equity,2020-04-09,4202.6391
MNG LN Equity,2020-04-14,4364.2916
MNG LN Equity,2020-04-15,4359.8369
MNG LN Equity,2020-04-16,3832.8291
MNG LN Equity,2020-04-17,3902.1068
MNG LN Equity,2020-04-20,3944.3948
MNG LN Equity,2020-04-21,3775.7977
MNG LN Equity,2020-04-22,3787.5566
MNG LN Equity,2020-04-23,3744.515
MNG LN Equity,2020-04-24,3714.7121
MNG LN Equity,2020-04-27,3751.5251
MNG LN Equity,2020-04-28,3873.3999
MNG LN Equity,2020-04-29,4151.4998
MNG LN Equity,2020-04-30,3955.5323
MNG LN Equity,2020-05-01,3825.2788
MNG LN Equity,2020-05-04,3665.4365
MNG LN Equity,2020-05-05,3700.3294
MNG LN Equity,2020-05-06,3784.6806
MNG LN Equity,2020-05-07,3909.7175
MNG LN Equity,2020-05-11,3829.0383
MNG LN Equity,2020-05-12,3790.4356
MNG LN Equity,2020-05-13,3502.9066
MNG LN Equity,2020-05-14,3335.2204
MNG LN Equity,2020-05-15,3182.315
MNG LN Equity,2020-05-18,3418.0708
MNG LN Equity,2020-05-19,3538.9589
MNG LN Equity,2020-05-20,3432.5983
MNG LN Equity,2020-05-21,3503.3146
MNG LN Equity,2020-05-22,3590.1064
MNG LN Equity,2020-05-26,3719.4716
MNG LN Equity,2020-05-27,4059.0765
MNG LN Equity,2020-05-28,4341.8585
MNG LN Equity,2020-05-29,4039.6715
MNG LN Equity,2020-06-01,4150.7075
MNG LN Equity,2020-06-02,4163.2836
MNG LN Equity,2020-06-03,4343.8995
MNG LN Equity,2020-06-04,4359.4183
MNG LN Equity,2020-06-05,4821.9557
MNG LN Equity,2020-06-08,5004.234
MNG LN Equity,2020-06-09,4967.207
MNG LN Equity,2020-06-10,4609.0089
MNG LN Equity,2020-06-11,4400.1623
MNG LN Equity,2020-06-12,4383.3652
MNG LN Equity,2020-06-15,4593.6836
MNG LN Equity,2020-06-16,4608.3275
MNG LN Equity,2020-06-17,4619.3018
MNG LN Equity,2020-06-18,4654.2778
MNG LN Equity,2020-06-19,4609.4646
MNG LN Equity,2020-06-22,4621.5091
MNG LN Equity,2020-06-23,4819.6328
MNG LN Equity,2020-06-24,4578.4881
MNG LN Equity,2020-06-25,4634.9598
MNG LN Equity,2020-06-26,4614.0063
MNG LN Equity,2020-06-29,4701.4954
MNG LN Equity,2020-06-30,4796.2916
MNG LN Equity,2020-07-01,4782.1437
MNG LN Equity,2020-07-02,4836.9674
MNG LN Equity,2020-07-03,4851.7779
MNG LN Equity,2020-07-06,4886.0567
MNG LN Equity,2020-07-07,4945.9486
MNG LN Equity,2020-07-08,5029.4574
MNG LN Equity,2020-07-09,4976.8126
MNG LN Equity,2020-07-10,5042.0151
MNG LN Equity,2020-07-13,5084.99
MNG LN Equity,2020-07-14,5052.4715
MNG LN Equity,2020-07-15,4988.5423
MNG LN Equity,2020-07-16,5030.0548
MNG LN Equity,2020-07-17,5081.9164
MNG LN Equity,2020-07-20,5139.7339
MNG LN Equity,2020-07-21,5099.3411
MNG LN Equity,2020-07-22,4969.9695
MNG LN Equity,2020-07-23,4939.0041
MNG LN Equity,2020-07-24,4653.859
MNG LN Equity,2020-07-27,4659.1028
MNG LN Equity,2020-07-28,4670.1603
MNG LN Equity,2020-07-29,4672.6324
MNG LN Equity,2020-07-30,4556.4535
MNG LN Equity,2020-07-31,4638.6418
MNG LN Equity,2020-08-03,4637.7634
MNG LN Equity,2020-08-04,4705.2503
MNG LN Equity,2020-08-05,4873.7203
MNG LN Equity,2020-08-06,4793.4482
MNG LN Equity,2020-08-07,4893.5945
MNG LN Equity,2020-08-10,4912.0709
MNG LN Equity,2020-08-11,5020.6375
MNG LN Equity,2020-08-12,5216.9706
MNG LN Equity,2020-08-13,5239.007
MNG LN Equity,2020-08-14,5167.4377
MNG LN Equity,2020-08-17,5214.1845
MNG LN Equity,2020-08-18,5189.1405
MNG LN Equity,2020-08-19,5186.8996
MNG LN Equity,2020-08-20,4888.3074
MNG LN Equity,2020-08-21,4852.0052
MNG LN Equity,2020-08-24,4968.5894
MNG LN Equity,2020-08-25,4942.1678
MNG LN Equity,2020-08-26,5101.5917
MNG LN Equity,2020-08-27,5072.7645
MNG LN Equity,2020-08-28,5041.8621
MNG LN Equity,2020-09-01,4829.9917
MNG LN Equity,2020-09-02,4825.715
MNG LN Equity,2020-09-03,4628.7014
MNG LN Equity,2020-09-04,4579.7969
MNG LN Equity,2020-09-07,4794.4685
MNG LN Equity,2020-09-08,4601.7475
MNG LN Equity,2020-09-09,4499.9291
MNG LN Equity,2020-09-10,4408.0042
MNG LN Equity,2020-09-11,4290.7573
MNG LN Equity,2020-09-14,4262.6502
MNG LN Equity,2020-09-15,4461.212
MNG LN Equity,2020-09-16,4542.7615
MNG LN Equity,2020-09-17,4438.7285
MNG LN Equity,2020-09-18,4489.1408
MNG LN Equity,2020-09-21,4218.5554
MNG LN Equity,2020-09-22,4200.5837
MNG LN Equity,2020-09-23,4314.4658
MNG LN Equity,2020-09-24,4154.5562
MNG LN Equity,2020-09-25,4302.0729
MNG LN Equity,2020-09-28,4552.2852
MNG LN Equity,2020-09-29,4471.3629
MNG LN Equity,2020-09-30,4567.4799
MNG LN Equity,2020-10-01,4549.679
MNG LN Equity,2020-10-02,4616.2833
MNG LN Equity,2020-10-05,4695.0431
MNG LN Equity,2020-10-06,4741.6395
MNG LN Equity,2020-10-07,4578.0039
MNG LN Equity,2020-10-08,4620.3398
MNG LN Equity,2020-10-09,4841.553
MNG LN Equity,2020-10-12,4776.2129
MNG LN Equity,2020-10-13,4678.0735
MNG LN Equity,2020-10-14,4791.9671
MNG LN Equity,2020-10-15,4719.0068
MNG LN Equity,2020-10-16,4827.0001
MNG LN Equity,2020-10-19,4778.3331
MNG LN Equity,2020-10-20,4751.8634
MNG LN Equity,2020-10-21,4756.2502
MNG LN Equity,2020-10-22,4821.2645
MNG LN Equity,2020-10-23,4829.2487
MNG LN Equity,2020-10-26,4763.8711
MNG LN Equity,2020-10-27,4419.4025
MNG LN Equity,2020-10-28,4234.8912
MNG LN Equity,2020-10-29,4206.5322
MNG LN Equity,2020-10-30,4237.0586
MNG LN Equity,2020-11-02,4178.1049
MNG LN Equity,2020-11-03,4411.1746
MNG LN Equity,2020-11-04,4483.8321
MNG LN Equity,2020-11-05,4442.3868
MNG LN Equity,2020-11-06,4556.6277
MNG LN Equity,2020-11-09,5099.2236
MNG LN Equity,2020-11-10,5261.2391
MNG LN Equity,2020-11-11,5218.7129
MNG LN Equity,2020-11-12,5057.2595
MNG LN Equity,2020-11-13,5315.9363
MNG LN Equity,2020-11-16,5542.7198
MNG LN Equity,2020-11-17,5605.4639
MNG LN Equity,2020-11-18,5633.6849
MNG LN Equity,2020-11-19,5606.6072
MNG LN Equity,2020-11-20,5670.11
MNG LN Equity,2020-11-23,5704.0231
MNG LN Equity,2020-11-24,5869.9006
MNG LN Equity,2020-11-25,5731.076
MNG LN Equity,2020-11-26,5618.9485
MNG LN Equity,2020-11-27,5601.582
MNG LN Equity,2020-11-30,5445.3357
MNG LN Equity,2020-12-01,5568.4906
MNG LN Equity,2020-12-02,5568.9304
MNG LN Equity,2020-12-03,5701.3115
MNG LN Equity,2020-12-04,5641.9495
MNG LN Equity,2020-12-07,5536.9453
MNG LN Equity,2020-12-08,5455.4491
MNG LN Equity,2020-12-09,5615.353
MNG LN Equity,2020-12-10,5421.9835
MNG LN Equity,2020-12-11,5294.0307
MNG LN Equity,2020-12-14,5400.9312
MNG LN Equity,2020-12-15,5471.0851
MNG LN Equity,2020-12-16,5721.6214
MNG LN Equity,2020-12-17,5800.3965
MNG LN Equity,2020-12-18,5674.9001
MNG LN Equity,2020-12-21,5467.594
MNG LN Equity,2020-12-22,5609.0808
MNG LN Equity,2020-12-23,5781.5405
MNG LN Equity,2020-12-24,5905.259
MNG LN Equity,2020-12-29,5804.393
MNG LN Equity,2020-12-30,5746.9181
MNG LN Equity,2020-12-31,5746.8372
MNG LN Equity,2021-01-04,5690.8068
MNG LN Equity,2021-01-05,5640.8673
MNG LN Equity,2021-01-06,5849.7524
MNG LN Equity,2021-01-07,5731.7938
MNG LN Equity,2021-01-08,5732.4003
MNG LN Equity,2021-01-11,5680.8944
MNG LN Equity,2021-01-12,5759.025
MNG LN Equity,2021-01-13,5830.2885
MNG LN Equity,2021-01-14,5833.1999
MNG LN Equity,2021-01-15,5741.6748
MNG LN Equity,2021-01-18,5649.4936
MNG LN Equity,2021-01-19,5565.9183
MNG LN Equity,2021-01-20,5656.9399
MNG LN Equity,2021-01-21,5794.578
MNG LN Equity,2021-01-22,5699.8476
MNG LN Equity,2021-01-25,5582.045
MNG LN Equity,2021-01-26,5385.9771
MNG LN Equity,2021-01-27,5239.9029
MNG LN Equity,2021-01-28,5418.4345
MNG LN Equity,2021-01-29,5166.5657
MNG LN Equity,2021-02-01,5390.8929
MNG LN Equity,2021-02-02,5396.3839
MNG LN Equity,2021-02-03,5521.1455
MNG LN Equity,2021-02-04,5564.3006
MNG LN Equity,2021-02-05,5509.3161
MNG LN Equity,2021-02-08,5424.2854
MNG LN Equity,2021-02-09,5478.0828
MNG LN Equity,2021-02-10,5454.8998
MNG LN Equity,2021-02-11,5551.7616
MNG LN Equity,2021-02-12,5578.8393
MNG LN Equity,2021-02-15,5851.4086
MNG LN Equity,2021-02-16,5893.827
MNG LN Equity,2021-02-17,5601.7876
MNG LN Equity,2021-02-18,5565.0591
MNG LN Equity,2021-02-19,5703.1222
MNG LN Equity,2021-02-22,5697.1891
MNG LN Equity,2021-02-23,5714.6779
MNG LN Equity,2021-02-24,5753.4246
MNG LN Equity,2021-02-25,5714.3565
MNG LN Equity,2021-02-26,5519.3903
MNG LN Equity,2021-03-01,5803.4406
MNG LN Equity,2021-03-02,5851.6655
MNG LN Equity,2021-03-03,6002.222
MNG LN Equity,2021-03-04,6024.4624
MNG LN Equity,2021-03-05,6031.857
MNG LN Equity,2021-03-08,6223.7672
MNG LN Equity,2021-03-09,6526.1731
MNG LN Equity,2021-03-10,6767.06
MNG LN Equity,2021-03-11,6653.1317
MNG LN Equity,2021-03-12,6834.4458
MNG LN Equity,2021-03-15,6634.8113
MNG LN Equity,2021-03-16,6773.1639
MNG LN Equity,2021-03-17,6477.9291
MNG LN Equity,2021-03-18,6235.8207
MNG LN Equity,2021-03-19,6060.8459
MNG LN Equity,2021-03-22,6046.1866
MNG LN Equity,2021-03-23,6094.7062
MNG LN Equity,2021-03-24,6125.4694
MNG LN Equity,2021-03-25,6288.1036
MNG LN Equity,2021-03-26,6314.3707
MNG LN Equity,2021-03-29,6227.8448
MNG LN Equity,2021-03-30,6373.8734
MNG LN Equity,2021-03-31,6332.9748
MNG LN Equity,2021-04-01,6390.3396
MNG LN Equity,2021-04-06,6495.5011
MNG LN Equity,2021-04-07,6600.1334
MNG LN Equity,2021-04-08,6550.0643
MNG LN Equity,2021-04-09,6537.9705
MNG LN Equity,2021-04-12,6512.8138
MNG LN Equity,2021-04-13,6491.9901
MNG LN Equity,2021-04-14,6584.0879
MNG LN Equity,2021-04-15,6560.5389
MNG LN Equity,2021-04-16,6636.6115
MNG LN Equity,2021-04-19,6615.1712
MNG LN Equity,2021-04-20,6380.8846
MNG LN Equity,2021-04-21,6350.2682
MNG LN Equity,2021-04-22,6308.604
MNG LN Equity,2021-04-23,6284.94
MNG LN Equity,2021-04-26,6343.5207
MNG LN Equity,2021-04-27,6331.7207
MNG LN Equity,2021-04-28,6331.8463
MNG LN Equity,2021-04-29,6338.4472
MNG LN Equity,2021-04-30,6496.544
MNG LN Equity,2021-05-04,6414.5054
MNG LN Equity,2021-05-05,6509.1575
MNG LN Equity,2021-05-06,6549.8196
MNG LN Equity,2021-05-07,6506.9029
MNG LN Equity,2021-05-10,6701.0139
MNG LN Equity,2021-05-11,6533.5527
MNG LN Equity,2021-05-12,6664.0875
MNG LN Equity,2021-05-13,6924.3621
MNG LN Equity,2021-05-14,7129.665
MNG LN Equity,2021-05-17,7151.826
MNG LN Equity,2021-05-18,7200.6826
MNG LN Equity,2021-05-19,7114.1083
MNG LN Equity,2021-05-20,7214.6203
MNG LN Equity,2021-05-21,7186.9432
MNG LN Equity,2021-05-24,7186.6076
MNG LN Equity,2021-05-25,7097.7421
MNG LN Equity,2021-05-26,7066.3031
MNG LN Equity,2021-05-27,7322.0907
MNG LN Equity,2021-05-28,7396.6967
MNG LN Equity,2021-06-01,7482.0372
MNG LN Equity,2021-06-02,7484.2062
MNG LN Equity,2021-06-03,7506.6343
MNG LN Equity,2021-06-04,7455.2544
MNG LN Equity,2021-06-07,7515.4215
MNG LN Equity,2021-06-08,7412.2734
MNG LN Equity,2021-06-09,7284.1674
MNG LN Equity,2021-06-10,7319.4776
MNG LN Equity,2021-06-11,7445.2891
MNG LN Equity,2021-06-14,7391.7711
MNG LN Equity,2021-06-15,7381.2801
MNG LN Equity,2021-06-16,7452.5133
MNG LN Equity,2021-06-17,7437.6447
MNG LN Equity,2021-06-18,7260.7353
MNG LN Equity,2021-06-21,7352.281
MNG LN Equity,2021-06-22,7333.0411
MNG LN Equity,2021-06-23,7311.5959
MNG LN Equity,2021-06-24,7313.7179
MNG LN Equity,2021-06-25,7094.3428
MNG LN Equity,2021-06-28,6963.7948
MNG LN Equity,2021-06-29,6921.1829
MNG LN Equity,2021-06-30,6931.0809
MNG LN Equity,2021-07-01,6917.0249
MNG LN Equity,2021-07-02,6905.7153
MNG LN Equity,2021-07-05,7009.2799
MNG LN Equity,2021-07-06,6970.7697
MNG LN Equity,2021-07-07,6985.7087
MNG LN Equity,2021-07-08,6768.7016
MNG LN Equity,2021-07-09,6915.6743
MNG LN Equity,2021-07-12,6945.6681
MNG LN Equity,2021-07-13,6935.996
MNG LN Equity,2021-07-14,6924.9957
MNG LN Equity,2021-07-15,6815.8813
MNG LN Equity,2021-07-16,6748.1902
MNG LN Equity,2021-07-19,6443.0557
MNG LN Equity,2021-07-20,6486.8052
MNG LN Equity,2021-07-21,6761.5264
MNG LN Equity,2021-07-22,6845.891
MNG LN Equity,2021-07-23,6842.5424
MNG LN Equity,2021-07-26,6951.6808
MNG LN Equity,2021-07-27,6917.3821
MNG LN Equity,2021-07-28,6887.4843
MNG LN Equity,2021-07-29,6949.9382
MNG LN Equity,2021-07-30,6868.2673
MNG LN Equity,2021-08-02,7051.6647
MNG LN Equity,2021-08-03,7109.7516
MNG LN Equity,2021-08-04,7081.4101
MNG LN Equity,2021-08-05,7155.7521
MNG LN Equity,2021-08-06,7286.112
MNG LN Equity,2021-08-09,7300.6607
MNG LN Equity,2021-08-10,7084.8492
MNG LN Equity,2021-08-11,7064.4745
MNG LN Equity,2021-08-12,6827.7406
MNG LN Equity,2021-08-13,6911.1592
MNG LN Equity,2021-08-16,6826.686
MNG LN Equity,2021-08-17,6711.6752
MNG LN Equity,2021-08-18,6770.9549
MNG LN Equity,2021-08-19,6375.1429
MNG LN Equity,2021-08-20,6357.8753
MNG LN Equity,2021-08-23,6442.8788
MNG LN Equity,2021-08-24,6365.0607
MNG LN Equity,2021-08-25,6375.0915
MNG LN Equity,2021-08-26,6292.9178
MNG LN Equity,2021-08-27,6331.979
MNG LN Equity,2021-08-31,6238.0853
MNG LN Equity,2021-09-01,6303.5576
MNG LN Equity,2021-09-02,6234.6104
MNG LN Equity,2021-09-03,6140.2794
MNG LN Equity,2021-09-06,6167.842
MNG LN Equity,2021-09-07,6105.1015
MNG LN Equity,2021-09-08,6029.8251
MNG LN Equity,2021-09-09,6147.5938
MNG LN Equity,2021-09-10,6149.9758
MNG LN Equity,2021-09-13,6236.5818
MNG LN Equity,2021-09-14,6197.9728
MNG LN Equity,2021-09-15,6231.0636
MNG LN Equity,2021-09-16,6240.5688
MNG LN Equity,2021-09-17,6163.0684
MNG LN Equity,2021-09-20,6034.245
MNG LN Equity,2021-09-21,6060.3151
MNG LN Equity,2021-09-22,6179.7535
MNG LN Equity,2021-09-23,6213.5848
MNG LN Equity,2021-09-24,6223.2663
MNG LN Equity,2021-09-27,6309.5469
MNG LN Equity,2021-09-28,6118.7413
MNG LN Equity,2021-09-29,6131.6992
MNG LN Equity,2021-09-30,6158.0328
MNG LN Equity,2021-10-01,6104.7454
MNG LN Equity,2021-10-04,6074.7196
MNG LN Equity,2021-10-05,6110.9974
MNG LN Equity,2021-10-06,6029.3942
MNG LN Equity,2021-10-07,6115.6534
MNG LN Equity,2021-10-08,6126.0175
MNG LN Equity,2021-10-11,6135.6386
MNG LN Equity,2021-10-12,6096.3703
MNG LN Equity,2021-10-13,6065.5122
MNG LN Equity,2021-10-14,6146.9288
MNG LN Equity,2021-10-15,6146.681
MNG LN Equity,2021-10-18,6078.2477
MNG LN Equity,2021-10-19,6082.2719
MNG LN Equity,2021-10-20,6107.9521
MNG LN Equity,2021-10-21,6134.0263
MNG LN Equity,2021-10-22,6098.1232
MNG LN Equity,2021-10-25,6061.1642
MNG LN Equity,2021-10-26,6178.0626
MNG LN Equity,2021-10-27,6157.8981
MNG LN Equity,2021-10-28,6098.1178
MNG LN Equity,2021-10-29,6155.2956
MNG LN Equity,2021-11-01,6239.7361
MNG LN Equity,2021-11-02,6196.3466
MNG LN Equity,2021-11-03,6131.2375
MNG LN Equity,2021-11-04,6078.7187
MNG LN Equity,2021-11-05,6118.9871
MNG LN Equity,2021-11-08,6090.9351
MNG LN Equity,2021-11-09,5969.2287
MNG LN Equity,2021-11-10,5998.6971
MNG LN Equity,2021-11-11,5992.2915
MNG LN Equity,2021-11-12,5996.8365
MNG LN Equity,2021-11-15,6099.4304
MNG LN Equity,2021-11-16,6158.0571
MNG LN Equity,2021-11-17,6182.1106
MNG LN Equity,2021-11-18,6139.0551
